Artist,Song_Name,Lyric
Ed Sheeran,I Love You,"I'm standing on a mountain
Waiting for you to come
You were sitting counting
The days that I had gone
The note I wrote
I wrapped up in a cigarette
Burned away the memories
I tried to forget
But not yet
Wishing my life away
But these three words
I have to say to you
My baby blue
You know it's true
I love you
I love you
How can I tell you?
I don't know what to say
This chance that I won't miss
But I miss you anyway
I feel your pain
It's turning me insane
Thrown away
I had to take the last train home

But then you came
Wishing my life away
But these three words
I have to say to you
My baby blue
You know it's true
I love you
Wishing my life away
These three words
I have to say to you
My baby blue
You know it's true
You know it's true
I love you
I love you
I love you"
Ed Sheeran,Tides,"I have grown up, I am a father now
Everything has changed, but I am still the same somehow
You know I've never been afraid of death
But now I wanna see the things that haven't happened yet
I still love getting out of my mind, I should cut it down
I still know people I don't like and I should cut them out
I feel embarrassed 'bout the things that I did in my youth
'Cause now I have a child, I know one day that you will do

Freight cargo, dot stops and aeroplanes
Late-night calls, signal is in and out again
Feelin' low, serotonin known better days
Go, go, go! But every moment you're here with me

Timе stops to still
When you are in my arms, it always will
And life, lifе is changin' tides

I lost the confidence in who I was
To busy tryna chase the high and get the numbers up
I have the same dream every night
A bullet through my brain the moment that I close my eyes
I still have to lean on a shoulder when I've broken down
And I have people that depend on me to sort them out
I sometimes fantasise I disappear without a trace
I have no regrets, but wish I did things in a different way

Low fly zone, lawsuits, and film stars
Headline wrote the princess and the face scar
Broken bones, break-ins, and Babylon
Go, go, go! But every moment you're here with me

Time stops to still
When you are in my arms, it always will
And life, life is changin' tides
Time stops to still
When you are in my arms, it always will
And life, life is changin' tides"
Ed Sheeran,Happier,"Walking down 29th and park
I saw you in another's arms
Only a month we've been apart
You look happier

Saw you walk inside a bar
He said something to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
If you're moving on with someone new
'Cause baby you look happier, you do
My friends told me one day I'll feel it too
And until then I'll smile to hide the truth
But I know I was happier with you

Sat on the corner of the room
Everything's reminding me of you
Nursing an empty bottle
And telling myself you're happier
Aren't you?

Ain't nobody hurt you like I hurt you
But ain't nobody need you like I do
I know that there's others that deserve you
But my darling, I am still in love with you
But I guess you look happier, you do
My friends told me one day I'll feel it too
I could try to smile to hide the truth
But I know I was happier with you

Baby, you look happier, you do
I knew one day you'd fall for someone new
But if he breaks your heart like lovers do
Just know that I'll be waiting here for you"
Ed Sheeran,Overpass Graffiti,"This is a dark parade
Another rough patch to rain on, to rain on
I know your friends may say
This is a cause for celebration, hip-hip-hooray, love
Photographs in sepia tones
It's so still, the fire's barely fighting the cold, alone
There are times when I can feel your ghost
Just when I'm almost letting you go
The cards were stacked against us both

I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were, you were the first full stop
Love that will never leave
Baby, you will never be lost on me

This is a goddamn shame
I never wanted to break it or leave us tainted
Know I should walk away
But I just can't replace us, or even erase us
The car was stuck, the engine stalled
And both of us got caught out in the snow, alone
There were times when I forget the lows
And think the highs were all that we'd ever known
The cards were stacked against us both

I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were, you were the first full stop
Love that will never leave
Baby, you will never be lost on me

Lost on me
Baby, you will never be lost on me
Lost on me

Well, I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were, you were the first full stop
Love that will never leave
Baby, you will never be lost on me

Yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Lost on me
Oh, graffiti on the overpass"
Ed Sheeran,Don't,"I met this girl late last year
She said don't you worry if I disappear
I told her I'm not really looking for another mistake
I called an old friend thinking that the trouble would wait

But then I jump right in
A week later return
I reckon she was only looking for a lover to burn
But I gave her my time for two or three nights
Then I put it on pause until the moment was right

I went away for months until our paths crossed again
She told me I was never looking for a friend
Maybe you could swing by my room around 10
Baby bring a lemon and a bottle of gin
We'll be in between the sheets until the late Am
Baby if you wanted me then you should've just said
She's singing

Ah-la-la-la-la
Don't fuck with my love
That heart is so cold
All over my arm
I don't wanna know that babe

Ah-la-la-la-la
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe

For a couple weeks I
Only want to see her
We drink away the days with a take away pizza
Before a text message was the only way to reach her
Now she's staying at my place and loves the way I treat her

Singing out Aretha
All over the track like a feature
Never want to sleep I guess that I don't want to either
But me and her we make money the same way
Four cities, two planes the same day

Those shows have never been what it's about
But maybe we'll go together and just figure it out
I'd rather put on a film with you and sit on the couch
But we should get on a plane
Or we'll be missing it now

Wish I'd have written it down
The way that things played out
When she was kissing him
How I was confused about
She should figure it out while I'm sat here singing

Ah-la-la-la-la
Don't fuck with my love
That heart is so cold
All over my arm
I don't wanna know that babe

Ah-la-la-la-la
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe

*Knock knock knock* on my hotel door
I don't even know if she knows what for
She was crying on my shoulder
I already told ya
Trust and respect is what we do this for

I never intended to be next
But you didn't need to take him to bed that's all
And I never saw him as a threat
Until you disappeared with him to have sex of course

It's not like we were both on tour
We were staying on the same fucking hotel floor
And I wasn't looking for a promise or commitment
But it was never just fun and I thought you were different

This is not the way you realize what you wanted
It's a bit too much, too late if I'm honest
All this time God knows I'm singing

Ah-la-la-la-la
Don't fuck with my love
That heart is so cold
All over my arm
I don't wanna know that babe

Ah-la-la-la-la
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe

Ah-la-la-la-la
Don't fuck with my love
That heart is so cold
All over my arm
I don't wanna know that babe

Ah-la-la-la-la
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe"
Ed Sheeran,I See Fire,"Oh, misty eye of the mountain below
Keep careful watch of my brothers' souls
And should the sky be filled with fire and smoke
Keep watching over Durin's sons

If this is to end in fire
Then we should all burn together
Watch the flames climb higher into the night
Calling out father, oh, stand by and we will
Watch the flames burn on and on
The mountainside

And if we should die tonight
Then we should all die together
Raise a glass of wine for the last time
Calling out father, oh
Prepare as we will
Watch the flames burn on and on
The mountainside

Desolation comes upon the sky

Now I see fire
Inside the mountains
I see fire
Burning the trees
And I see fire
Hollowing souls
And I see fire
Blood in the breeze
And I hope that you remember me

Oh, should my people fall then
Surely I'll do the same
Confined in mountain halls
We got too close to the flame
Calling out father, oh
Hold fast and we will
Watch the flames burn on and on
The mountainside

Desolation comes upon the sky

Now I see fire
Inside the mountains
I see fire
Burning the trees
And I see fire
Hollowing souls
And I see fire
Blood in the breeze
And I hope that you remember me

And if the night is burning
I will cover my eyes
For if the dark returns then
My brothers will die
And as the sky's falling down
It crashed into this lonely town
And with that shadow upon the ground
I hear my people screaming out

Now I see fire
Inside the mountains
I see fire
Burning the trees
And I see fire
Hollowing souls
And I see fire
Blood in the breeze

I see fire (oh you know I saw a city burning)
(Fire)
And I see fire (feel the heat upon my skin) (fire)
And I see fire (fire)
And I see fire (burn on and on the mountainside)"
Ed Sheeran,First Times,"I thought it'd feel different, playin' Wembley
Eighty thousand singin' with me
It's what I've been chasin' 'cause this is the dream
When it was all over, I cleared out the room
Grabbed a couple beers, just me and you
Then we started talking the way that we do

Ain't it funny how the simplest things in life can make a man?
Little moments that pass us by
Oh, but I remember

The first kiss, the first night, the first song that made you cry
The first drink, red wine, on a step in Brooklyn, I
Still feel the first fight, and we both made it out alive
And I can't wait to make a million more first times
(MM, mm)

The greatest thing that I have achieved
Was four little words, down on one knee
You said, ""Darling, are you jokin'? "", and I just said, ""Please""

Ain't it funny how the simplest things in life can make a man?
Little moments that pass us by
Oh, but I remember

The first kiss, the first night, the first song that made you cry
The first look in your eyes when I said ""I love you"", I
Can still feel the butterflies from when we stumbled home that night
I can't wait to make a million more first times
(MM, mm)

Ain't it funny how the simplest things in life can make a man?
Little moments that pass us by
Oh, but I remember

The first kiss, first night, first song that made you cry
First dance in moonlight in your parents' garden, I
Can't wait to see everything that's yet to be
Our first child and then a million more first times"
Ed Sheeran,Beautiful People (feat. Khalid),"We are, we are, we are

LA on a Saturday night in the summer
Sundown and they all come out
Lamborghinis and their rented Hummers
The party's on
So they're headin' downtown
('Round here) everybody's lookin' for a come up
And they wanna know what you're about
Me in the middle with the one I love and
We're just tryna figure everything out

We don't fit in well
'Cause we are just ourselves
I could use some help
Gettin' out of this conversation, yeah
You look stunning, dear, so don't ask that question here
This is my only fear, that we've become

Beautiful people
Drop top, designer clothes
Front row at fashion shows
What d'you do and who d'you know
Inside the world of beautiful people?
Champagne and rolled-up notes
Prenups and broken homes
Surrounded, but still alone
Let's leave the party

That's not who we are (we are, we are, we are)
We are not beautiful
Yeah, that's not who we are (we are, we are, we are)
We are not beautiful (beautiful)

LA, mm
Drove for hours last night
And we made it nowhere
(Nowhere, nowhere)
I see stars in your eyes
When we're halfway there (all night)
I'm not fazed
By all them lights and flashin' cameras
'Cause with my arms around you
There's no need to care

We don't fit in well, we are just ourselves
I could use some help
Gettin' out of this conversation, yeah
You look stunning, dear, so don't ask that question here
This is my only fear, that we've become

Beautiful people
Drop top, designer clothes
Front row at fashion shows
What d'you do and who d'you know
Inside the world of beautiful people?
Champagne and rolled-up notes
Prenups and broken homes
Surrounded, but still alone
Let's leave the party

That's not who we are (we are, we are, we are)
We are not beautiful, yeah
Yeah, that's not who we are (we are, we are, we are)
We are not beautiful (beautiful)

We are, we are, we are
We are not beautiful"
Ed Sheeran,Kiss Me,"Settle down with me
Cover me up
Cuddle me in

Lie down with me
And hold me in your arms

And your heart's against my chest
Your lips pressed in my neck
I'm falling for your eyes
But they don't know me yet
And with a feeling I'll forget
I'm in love now

Kiss me like you wanna be loved
You wanna be loved
You wanna be loved
This feels like falling in love
Falling in love
We're falling in love

Settle down with me
And I'll be your safety
You'll be my lady

I was made to keep your body warm
But I'm cold as the wind blows so hold me in your arms

And your heart's against my chest
Your lips pressed in my neck
I'm falling for your eyes
But they don't know me yet
And with a feeling I'll forget
I'm in love now

Kiss me like you wanna be loved
You wanna be loved
You wanna be loved
This feels like falling in love
Falling in love
We're falling in love

Yeah I've been feeling everything
From hate to love from love to lust
From lust to truth I guess that's how I know you
So I hold you close to help you give it up

So kiss me like you wanna be loved
You wanna be loved
You wanna be loved
This feels like falling in love
Falling in love
We're falling in love

Kiss me like you wanna be loved
You wanna be loved
You wanna be loved
This feels like falling in love
Falling in love
We're falling in love"
Ed Sheeran,Love Yourself (Kiss Fm session cover),"For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart
oh girl for goodness sake
You think I'm crying on my own, well I ain't

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I been movin' on
and I think you should be somethin'
I don't wanna hold back, maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job
Didn't see what's going on
And now I know, I'm better sleeping on my own

Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I been movin' on
and I think you should be somethin'
I don't wanna hold back, maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job
Didn't see what's going on
And now I know, I'm better sleeping on my own

Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

For all the times that you made me feel small
I fell in love now I feel nothin' at all
I never felt so low when I was vulnerable
Was I a fool to let you break down my walls?

Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself"
Ed Sheeran,Visiting Hours,"I wish that heaven
Had visiting hours
So I could just show up
And bring the news
That she's getting older
And I wish that you'd met her
The things that she'll learn from me
I got them all from you

Can I just stay a while and we'll put all the world to rights?
The little ones will grow and I'll still drink your favourite wine
And soon, they're going to close, but I'll see you another day
So much has changed since you've been away

Well, I wish that heaven
Had visiting hours
So I could just swing by
And ask your advice
What would you do in my situation?
I haven't a clue how I'd even raise them
What would you do?
'Cause you always do what's right

Can we just talk a while until my worries disappear?
I'd tell you that I'm scared of turning out a failure
You'd say, ""Remember that the answer's
In the love that we create""
So much has changed since you've been away

I wish that heaven
Had visiting hours
And I would ask them
If I could take you home
But I know what they'd say
That it's for the best
So I would live life the way you told me
And make it on my own

And I will close the door, but I will open up my heart
And everyone I love will know exactly who you are
'Cause this is not goodbye, it is just 'til we meet again
So much has changed since you've been away"
